axis,index,x,y_s,snr,fwhm
row,0,44.0,70.39212007505125,6.059737031558188,20.806430289161593
row,0,596.0,80.28042235700133,17.093017227780514,32.765916408400926
row,0,835.0,70.36642087351541,6.031062089866556,24.83962008588321
row,398,93.0,76.19547100659312,7.512215454721621,94.47234534795182
row,398,169.0,75.7654784240197,6.8931582326306335,16.91882532225685
row,398,459.0,75.8004275928316,6.943474299083674,33.97987043399388
row,398,580.0,85.82097822767666,21.369988828017608,29.406572258231336
row,398,987.0,75.41505018550725,6.388649223248562,21.024006273391933
row,796,566.0,111.76041712117272,46.0876303686642,26.092426467087193
row,1194,107.0,79.12587809241731,7.422455876482992,20.18415072770462
row,1194,147.0,78.50176709280996,6.785082541227244,19.468267982783203
row,1194,553.0,150.43967886906987,80.25167228089688,24.955877670243467
row,1194,940.0,78.50931541516258,6.792791265150555,14.748492790923933
row,1592,356.0,80.23936471923355,8.22218289195137,30.288779927839528
row,1592,431.0,78.85165146821903,6.585058115159239,30.134520615063877
row,1592,541.0,221.56660412759334,174.9499453471351,24.468474293301256
row,1592,673.0,79.34443038527478,7.166403413983018,30.127374075383273
row,1990,92.0,77.46908678389589,6.915566342825693,43.23856247977294
row,1990,346.0,76.9548409616523,6.320479917106215,22.40759107257776
row,1990,529.0,418.54570443739203,401.61019781376984,24.243451491388896
row,1990,570.0,78.7066625943589,8.34769186285853,41.842899371537555
row,1990,911.0,79.28653082595714,9.018716688737648,23.69669412877215
row,2388,474.0,80.2549849469922,7.047550678647929,41.78079797107108
row,2388,516.0,1011.4699157904541,1059.6253081959758,23.984839353991106
row,2786,459.0,81.13442994895568,9.358619369963533,19.72681125981933
row,2786,502.0,1485.9514813038124,1684.471513702155,23.981101333189144
row,2786,638.0,78.92669837253422,6.726106027873005,19.792820514648156
row,2786,681.0,79.7398228544052,7.69568089384266,25.69898065228199
row,2786,816.0,79.50970810245266,7.421290582449445,32.074308629044026
row,3184,495.0,80.35232776299637,9.37554445431255,40.855751341924815
row,3184,629.0,79.46324010646681,8.254935237059119,28.350195131910482
row,3184,804.0,78.42768009075924,6.9497117418295,59.35171342957551
row,3184,946.0,80.41672847855989,9.456715343288671,28.112265130608307
row,3582,887.0,78.63061215585807,8.258499121977014,28.947943475916645
row,3980,31.0,76.73114010210344,6.10561033428365,17.681705060354766
row,3980,83.0,76.95889873031585,6.418172787351472,26.22851282367985
row,3980,680.0,76.84240150094284,6.2582988889432265,55.98037111278222
row,3980,842.0,76.85038614250661,6.2692565381599685,30.997563185662102
row,3980,951.0,78.54653344387239,8.59694864554667,19.738379610580296
row,4378,450.0,183.81316811380339,138.0287718728892,31.271668381361053
row,4776,824.0,76.91212531088219,6.8393882729675,24.648904400470087
row,4776,935.0,76.46629434094456,6.342051933778433,28.044175748121916
row,5174,74.0,72.69985601466482,6.863773159847246,29.31150548286908
row,5174,113.0,74.83476591474785,9.865463732043517,24.330927414336713
row,5174,334.0,72.14922117021258,6.089578697940096,43.930082051734075
row,5174,834.0,73.61752257952372,8.154015467520082,12.76235754959032
row,5174,923.0,74.39220733889373,9.24322487094017,49.74188648396489
row,5572,12.0,75.44480026645593,6.717515704962691,25.89593439552745
row,5572,353.0,75.12293293774191,6.359523568437767,27.871475179391837
row,5572,709.0,76.18774815655605,7.543848416537597,29.292168469432
row,5572,828.0,75.38945852786364,6.655962681495495,19.83954092526608
row,5572,916.0,75.373838300105,6.6385893161071525,59.62145561883676
row,5970,83.0,71.50351236965405,6.415508524460163,30.839489704270576
row,5970,216.0,71.31484794275931,6.16745363888922,24.517339972109284
row,5970,276.0,71.51839085475375,6.43507066969136,9.259478148577216
row,5970,359.0,74.01217330599523,9.713881258222116,19.812055728907865
row,5970,398.0,90.80160565470258,31.7885287612379,23.71742555761574
row,5970,728.0,72.1191587765654,7.224956821270071,52.85343698088377
row,6368,321.0,71.4201754003273,6.7131191267087456,23.482844899869804
row,6368,385.0,135.52899341158826,78.16010343774582,24.284269360741973
